id,tuin_naam,stijl,planten,biodiversiteit_score,aantrekkingskracht,tuin_bio
601690,Tuin_1,Klassiek,"Veldsalie, Blaassilene, Gewone ossentong, Moerasvergeet-mij-nietje, Dagkoekoeksbloem, Muskuskruid",6,bijen,Deze tuin is ontworpen in een klassiek stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
419944,Tuin_3,Modern,"Sint-janskruid, Egelboterbloem, Blaassilene, Boerenwormkruid, Echte koekoeksbloem, Echte sleutelbloem",6,bijen,Deze tuin is ontworpen in een modern stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
409285,Tuin_5,Klassiek,"Echte koekoeksbloem, Zevenblad, Muskuskruid, Kruipwilg, Zandraket, Gele morgenster",6,bijen,Deze tuin is ontworpen in een klassiek stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
261648,Tuin_8,Onderhoudsvriendelijk,"Vlasbekje, Grote kaardebol, Wilde narcis, Gele morgenster, Kleine ratelaar",5,"bijen, vlinders","Deze tuin is ontworpen in een onderhoudsvriendelijk stijl. Deze tuin trekt vooral bijen, vlinders aan en draagt bij aan een levendige tuinomgeving."
327537,Tuin_9,Onderhoudsvriendelijk,"Grote kaardebol, Veldsalie, Echte koekoeksbloem, Beemdkroon, Wilde bertram",5,bijen,Deze tuin is ontworpen in een onderhoudsvriendelijk stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
565240,Tuin_10,Modern,"Echte valeriaan, Beemdkroon, Vlasbekje, Sint-janskruid, Echte sleutelbloem, Boerenwormkruid",6,"bijen, vlinders","Deze tuin is ontworpen in een modern stijl. Deze tuin trekt vooral bijen, vlinders aan en draagt bij aan een levendige tuinomgeving."
295611,Tuin_14,Klassiek,"Kruipend zenegroen, Kruipwilg, Veldzuring, Gewone ossentong, Echte koekoeksbloem, Gele morgenster",6,bijen,Deze tuin is ontworpen in een klassiek stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
769838,Tuin_16,Modern,"Wilde cichorei, Echte kamille, Zandblauwtje, Pinksterbloem, Kleine bevernel, Ruw vergeet-mij-nietje",6,bijen,Deze tuin is ontworpen in een modern stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
458749,Tuin_17,Modern,"Gewone dotterbloem, Boerenwormkruid, Echte sleutelbloem, Beemdkroon, Wilde cichorei, Echte koekoeksbloem",6,bijen,Deze tuin is ontworpen in een modern stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
297426,Tuin_19,Natuurlijk,"Gevlekte aronskelk, Ruw vergeet-mij-nietje, Zandraket, Wilde narcis, Bosandoorn, Wilde reseda, Kleine bevernel",7,bijen,Deze tuin is ontworpen in een natuurlijk stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
363701,Tuin_20,Onderhoudsvriendelijk,"Boerenwormkruid, Zomerfijnstraal, Kruipwilg, Gewone ossentong, Look-zonder-look",5,bijen,Deze tuin is ontworpen in een onderhoudsvriendelijk stijl. Deze tuin trekt vooral bijen aan en draagt bij aan een levendige tuinomgeving.
